date,subtotal,tax,total,currency_code,payment.type,bill_to.name,vendor.type,vendor.name,vendor.address,vendor.logo,img_file_name,img_thumbnail_url,img_url,pdf_url
2021-09-29 00:00:00,1.16,52.25,1.16,EUR,master_card,Fred McMath,women's underwear,CALZEDONIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-09-12 00:00:00,1.16,52.25,1.16,EUR,master_card,Fred McMath,mixed clothing,NAUTICA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-09-14 00:00:00,1.16,52.25,1.16,EUR,master_card,Mark Packer,men's clothing,HARMONT & BLAINE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-09-15 00:00:00,1.16,52.25,1.16,,visa,Rachel Payne,sportswear,ADIDAS/REEBOK,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-10-01 00:00:00,1.16,52.25,1.16,,visa,Rachel Payne,women's underwear,VANITY FAIR,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-09-26 00:00:00,1.16,52.25,1.16,EUR,master_card,Sally Hughsby,sportswear,GEOGRAPHICAL NORWAY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-12-28 19:23:00,1.16,52.25,1.16,USD,visa,,drugstore,CVS Pharmacy,"12940 Saratoga Sunnyvale Rd, Saratoga, CA, 95070, US",https://cdn.veryfi.com/logos/us/951881517.png,,,,
2022-10-05 00:00:00,1.8,2.36,1.8,EUR,master_card,Brian Thompson,sportswear,LE COQ SPORTIF,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2017-12-19 20:52:00,1.8,533.33,1.8,EUR,master_card,Brosina Hoffman,men's clothing,LIU JO UOMO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2017-12-14 16:35:00,1.8,7.75,1.8,EUR,master_card,Brosina Hoffman,sportswear,GEOGRAPHICAL NORWAY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-07-01 00:00:00,1.8,2.36,1.8,EUR,master_card,Bruce Degenhardt,mixed clothing,NAUTICA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2011-07-28 11:52:00,1.8,533.33,1.8,EUR,master_card,Bruce Geld,accessories,DELSEY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-24 00:00:00,1.8,7.75,1.8,EUR,master_card,Bruce Stewart,Catering,LINDT,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-26 15:23:00,1.8,2.36,1.8,EUR,master_card,Cassandra Brandow,"mixed clothing, sportswear, outdoor",JOMA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-26 15:23:00,1.8,533.33,1.8,,master_card,Catherine Glotzbach,women's clothing,NAULOVER,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-26 15:23:00,1.8,2.36,1.8,,master_card,Catherine Glotzbach,women's clothing,NKN NEKANE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-26 15:23:00,1.8,7.75,1.8,,master_card,Catherine Glotzbach,women's clothing,SITA MURT,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-04-02 00:00:00,1.8,533.33,1.8,,master_card,Catherine Glotzbach,women's underwear,CALZEDONIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-26 15:24:00,1.8,533.33,1.8,EUR,cash,Cyma Kinney,mixed clothing,MARINA MILITARE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2017-10-24 00:00:00,1.8,2.36,1.8,EUR,cash,Cyma Kinney,footwear,CONVERSE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2018-01-04 00:17:00,1.8,7.75,1.8,EUR,cash,Cyma Kinney,mixed clothing,DESIGUAL,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-01-27,1.8,2.36,1.8,EUR,visa,Darrin Martin,mixed clothing,MARINA MILITARE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-04-07 00:00:00,1.8,533.33,1.8,EUR,visa,Darrin Van Huff,home_goods,HOME INTERIORS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-07-22 00:00:00,1.8,7.75,1.8,EUR,visa,Dave Brooks,sportswear,ADIDAS/REEBOK,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2017-10-07 22:25:00,1.8,2.36,1.8,EUR,visa,Erica Bern,footwear,CALLAGHAN,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-10-03 00:00:00,1.8,533.33,1.8,EUR,visa,Erica Bern,home_goods,LA MALLORQUINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-26 15:24:00,1.8,7.75,1.8,EUR,visa,Erica Hackney,footwear,MUSTANG,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-12-30 00:00:00,1.8,7.75,1.8,EUR,visa,Erica Hernandez,Restaurant,SANTA GLORIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2009-01-23 10:25:00,1.8,2.36,1.8,EUR,visa,Erica Hernandez,kid's clothing,MAYORAL,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-05-16 00:00:00,1.8,533.33,1.8,EUR,visa,Erica Hernandez,kid's clothing,MAYORAL,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-21 13:40:00,1.8,2.36,1.8,EUR,master_card,Fred McMath,women's underwear,CALZEDONIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2017-03-09 13:31:00,1.8,533.33,1.8,EUR,master_card,Gary Hansen,jewelry,FESTINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2017-03-18 00:00:00,1.8,2.36,1.8,EUR,master_card,Gary Hwang,jewelry,FESTINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2017-04-07 11:36:00,1.8,7.75,1.8,EUR,master_card,Gary Hwang,jewelry,FESTINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2017-05-31 09:03:00,1.8,533.33,1.8,EUR,master_card,Gary Hwang,jewelry,FESTINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2017-08-04 00:00:00,1.8,7.75,1.8,EUR,master_card,Gary Hwang,jewelry,FESTINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2017-08-18 16:14:00,1.8,533.33,1.8,EUR,master_card,Gary Hwang,jewelry,FESTINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-31 00:00:00,1.8,2.36,1.8,EUR,master_card,Gary Hwang,women's clothing,NKN NEKANE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-04-01 00:00:00,1.8,7.75,1.8,EUR,master_card,Gary McGarr,sportswear,M+,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2018-01-11 00:00:00,1.8,533.33,1.8,EUR,master_card,Gary McGarr,sportswear,M+,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2014-05-29 17:48:00,1.8,2.36,1.8,EUR,master_card,Gary McGarr,women's clothing,NKN NEKANE,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-03-20 00:00:00,1.8,7.75,1.8,EUR,master_card,Gary Mitchum,footwear,CROCS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-03-21 00:00:00,1.8,7.75,1.8,EUR,master_card,Gary Mitchum,Restaurant,CASA CARMEN,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-03-22 00:00:00,1.8,533.33,1.8,EUR,master_card,Gary Mitchum,Restaurant,CASA CARMEN,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2016-07-28 00:00:00,1.8,2.36,1.8,EUR,master_card,Gary Mitchum,Restaurant,CASA CARMEN,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2016-09-02 18:21:00,1.8,7.75,1.8,EUR,master_card,Gary Mitchum,mixed clothing,VOLCOM,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,62894448.jpg,https://scdn.veryfi.com/receipts/69996bf0-664d-4f10-96df-fa88c656297f/thumbnail.jpg?Expires=1648359842&Signature=EmxFZYsSoUDZ23a20-Iij~xHzEEicG1t3ua2TJEJd-Aw0kAM1Om1coHeWJ22QYd4Bgum0zeOjKgP1w3GJzdf1T0-dipvTAW9OotFox0FsyPJ0MuYwWPW35skf3fpPgIC9aHwUp5CEjrHuYGE~xR-JfM0VnI~Gip4z3F~rH1Hy3jRgR8kT~0ytxFyHhtAW00eofQTtJidsuVSzSanQEuBLd-yI2r~SEGOwUb7hZX9yt4RuXqhRwwFGwd5p9J0sRrQqXvkPTWqgRdGatoBqos64pAkk5xnj3G~uZSkHsxIIz0L~~e6xKl0v-AgoFpdTH-lFPuNTD9PN5I5U60lxpn60w__&Key-Pair-Id=APKAJCILBXEJFZF4DCHQ,https://scdn.veryfi.com/receipts/69996bf0-664d-4f10-96df-fa88c656297f/c6d3a77c-12b8-4045-a0b1-bd7236b77013.jpg?Expires=1648359842&Signature=SuSwLcVjEEkMMYFXGf85XY3dGAiyRbDT7dsJdc4Y-DNzGdrmHvaIE~YRm~59pl74XytiIE-ZzlL-gaqV-NT20D8~4NG2h9151dzuGuvf2~LGYLTD6ZUC-2FPBXU5RlonKfZqaMcDFW~GQAUfyaglrK38y--CTzot3xhH6Lk988hq2VVXSnYybel3wP0l1acWx~QUJ~7Iawh7m~OrMJZjKnwFt3m5OEurP3o6c0NtutLylC8MmM8HjcJnRRIi97G4wUgVxdj4TBFEbD~m6pd928KzIluMf56QkXVBbsVYCOnYZIZmwCfelMl32uUHfszK-8ODEeu2xYm39H4shW2eLw__&Key-Pair-Id=APKAJCILBXEJFZF4DCHQ,https://scdn.veryfi.com/receipts/69996bf0-664d-4f10-96df-fa88c656297f/2829edbf-4123-45a2-879f-af5dcee985a0.pdf?Expires=1648359842&Signature=Df4f59mHJwRIuESj3FLOjp5LUJxOls7J20GKy2T7Uu7H33j8733NhgY77npiJIUrWx4WJ276JOoq19Smg9j3lYOFX6u6C0gD7frx3Pizk~CEzq9TMSYTjPe6O~otolRmXp8H2a48Hr1CSkK7rF17FVoPzk3~-G1ZOsnJWBvxZfWkpxHAUpNwDOeMyCw7aLUelYDI3juul~okahKqraCZArahQ2UXx8l1MockqGEfOCImYgxz5JJVQI6ru4mGWWzLfBYbyi3o03WkzM2DLuaAsxfv0mYvLqqFpOXRvcsbQnbqSHUUKahizAqGG7lucE~ceZIOy49Kh9G79t9jbtqGAA__&Key-Pair-Id=APKAJCILBXEJFZF4DCHQ
2021-05-30 00:00:00,1.8,2.36,1.8,EUR,master_card,Gary Mitchum,mixed clothing,VOLCOM,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-05-15 00:00:00,1.8,533.33,1.8,EUR,master_card,Gary Mitchum,footwear,CROCS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2016-10-23 14:20:00,1.8,533.33,1.8,EUR,visa,Janet Molinari,mixed clothing,GANT,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2016-11-28 16:37:00,1.8,7.75,1.8,EUR,visa,Ken Black,cosmetic,DRUNI,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2017-01-23 16:51:00,1.8,7.75,1.8,EUR,master_card,Mark Packer,footwear,HISPANITAS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2017-02-28 13:39:00,1.8,533.33,1.8,EUR,master_card,Mark Packer,home_goods,HOME & COOK,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2017-03-01 20:43:00,1.8,2.36,1.8,EUR,master_card,Mark Packer,home_goods,HOME INTERIORS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-21 13:40:00,1.8,7.75,1.8,EUR,master_card,Mark Packer,men's clothing,JACK&JONES,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2020-09-19 00:00:00,1.8,533.33,1.8,EUR,master_card,Mary Zewe,women's clothing,JAVIER SIMORRA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2016-07-03 09:43:00,1.8,7.75,1.8,,visa,Ralph Kennedy,women's clothing,JAVIER SIMORRA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2020-09-19 00:00:00,1.8,2.36,1.8,,visa,Ruben Ausman,women's underwear,TRIUMPH,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2020-09-19 00:00:00,1.8,2.36,1.8,EUR,master_card,Ryan Crowe,men's clothing,LIU JO UOMO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-11-28 19:23:00,1.8,7.75,1.8,USD,visa,,,Godiva,"17447 Haggerty Rd, Northville, MI, 48168, US",https://cdn.veryfi.com/logos/us/979736436.jpg,,,,
2014-08-22 11:03:00,1.8,533.33,1.8,USD,visa,,,Godiva,"17447 Haggerty Rd, Northville, MI, 48168, US",https://cdn.veryfi.com/logos/us/979736436.jpg,,,,
2022-03-25 13:12:00,1.8,2.36,1.8,USD,visa,,,Godiva,"17447 Haggerty Rd, Northville, MI, 48168, US",https://cdn.veryfi.com/logos/us/979736436.jpg,,,,
2022-03-25 13:13:00,2.8,534.33,2.8,EUR,visa,Jas O'Carroll,sportswear,GEOGRAPHICAL NORWAY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-25 13:13:00,3.72,0.26,1.9,,visa,Alan Barnes,sportswear,TIMBERLAND,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-26 15:23:00,3.72,0.26,1.9,,visa,Alan Barnes,women's clothing,DOUBLE AGENT,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-21 13:40:00,3.72,0.26,1.9,,visa,Alan Barnes,women's clothing,FLORENCIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-21 13:40:00,3.72,0.26,1.9,EUR,master_card,Brian Thompson,sportswear,LE COQ SPORTIF,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-04-09 00:00:00,3.72,0.26,1.9,EUR,master_card,Bruce Stewart,men's clothing,LIU JO UOMO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-26 15:23:00,3.72,0.26,1.9,EUR,master_card,Bruce Stewart,Restaurant,GREENVITA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-26 15:23:00,3.72,0.26,1.9,EUR,master_card,Cassandra Brandow,sportswear,KAPPA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-26 15:20:00,3.72,0.26,1.9,EUR,cash,Cynthia Arntzen,Restaurant,BURGER KING,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-26 15:20:00,3.72,0.26,1.9,EUR,visa,Dave Brooks,sportswear,ADIDAS/REEBOK,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-21 13:40:00,3.72,0.26,1.9,EUR,visa,Erica Bern,footwear,CALLAGHAN,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-26 15:21:00,3.72,0.26,1.9,EUR,visa,Erica Hernandez,Restaurant,SANTA GLORIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-21 13:40:00,3.72,0.26,1.9,EUR,master_card,Fred Hopkins,home_goods,LA MALLORQUINA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-21 13:40:00,3.72,0.26,1.9,EUR,master_card,Fred Hopkins,sportswear,LE COQ SPORTIF,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-21 13:40:00,3.72,0.26,1.9,EUR,master_card,Gene McClure,Restaurant,BURGER KING,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-21 13:40:00,3.72,0.26,1.9,EUR,master_card,Gene McClure,accessories,PARFOIS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-25 03:08:00,3.72,0.26,1.9,EUR,master_card,George Ashbrook,women's clothing,NAULOVER,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-25 03:08:00,3.72,0.26,1.9,EUR,master_card,George Ashbrook,women's clothing,NAULOVER,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,62894357.jpg,https://scdn.veryfi.com/receipts/f340dd1a-90a7-462d-a9e5-81455bc9fdde/thumbnail.jpg?Expires=1648359841&Signature=el3DYzJF2ikTEpr2grPvdEStVGYiDppUPyiWnDu10SfrWAIOVWuLzC3k5V1IeAqXlivHrfs4Ksa5rKzSSK5-hsO90d1uliZTsR8y0894qSzCxXspe6S-zTxAQZNGVqDCWRzc0S60S6TxXMz5n0gD3fReERZBig~m3YYjNsbj~rXeOl9syj9GzmXiWEBbQbfpVZPutbzaaa4sE8x5T3B3Y07SWvwIhBhUz95mC9Fk5DJqBfVWgphIESIOFUrvSvs6jkYewF0IzTwIB3ltKS~RZAGFawGCz1E6ArvoV7ti8sFXWFml2bvvv9nAe0I2u~o6b4hD2vxekecV8BSPe-UzRw__&Key-Pair-Id=APKAJCILBXEJFZF4DCHQ,https://scdn.veryfi.com/receipts/f340dd1a-90a7-462d-a9e5-81455bc9fdde/14af827e-6e27-4e18-861f-3aa005f07cb8.jpg?Expires=1648359841&Signature=EtoPQUrojk7R99bR9cnfcdCaWbsS9v~-vLq05NdycMjtfC8uPLALk~BAudrdtdNOOq2iUZZghFd9KBIa5YKUgAo7toXD-nfDfdBS9NN9ofWkbTtooVs3kKLlnpQY6NZ~I58dnnAPZEAMrGpepE0tgFuEDIoo999RbC8I4ABPv1vHvI-xZ0kBsS~VsXKZarLdWgUEw8jV9v4Kyys0ckLpihNIGK2RjKfFuduRICPzsuP067~lclbXNeAFih0lGDWwvmIDUjxgQVD5ZZNzxm9eSlJIV3WGPOBjKhVF83NAqf9BrmxWMrdcETp1zB0~Yc-q~ejatJcPvzNaJTsWUOfi6w__&Key-Pair-Id=APKAJCILBXEJFZF4DCHQ,https://scdn.veryfi.com/receipts/f340dd1a-90a7-462d-a9e5-81455bc9fdde/5b2b56a6-27a7-427a-bb46-cedfc1d11927.pdf?Expires=1648359841&Signature=AtimGsu~l3yj3-s52JgtqxJWni3bYS0EtWHH~ebUElgLs8O~LeB7PKw6n0~PTe2hYz2fG66pMBuKMIjeh-GfS89boX4tcUWxqsAlpU4oXpfL-4JtuN3vmf9572NHLdeLS6pDvgYennzEJgn6Q3F9wuufey8J32YDM35OEdA91~LGYjAlx2IBuPciF1V0QxDsLSL3v4MFbY1F7zD~S68GfOeiu3npTMPfuOhqnHtq2ryNM~rl3BTL~eAWZ-KRukQjj~fvaIQjHM8WrQbKtzcZ4537Pl6a5~zlbCWL5seQamxNO0d7kRKcYHTIExDzIQTi7N~Y7h~k6xCW1OrMkLNFMA__&Key-Pair-Id=APKAJCILBXEJFZF4DCHQ
2022-03-21 13:40:00,3.72,0.26,1.9,EUR,master_card,George Bell,sportswear,GEOGRAPHICAL NORWAY,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-21 13:40:00,3.72,0.26,1.9,EUR,master_card,George Bell,Restaurant,SANTA GLORIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-21 13:40:00,3.72,0.26,1.9,EUR,master_card,George Bell,cosmetic,PRIMOR,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-26 15:21:00,3.72,0.26,1.9,EUR,master_card,George Bell,cosmetic,PRIMOR,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-25 03:09:00,3.72,0.26,1.9,EUR,master_card,George Zrebassa,women's underwear,CALZEDONIA,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-25 03:09:00,3.72,0.26,1.9,EUR,master_card,Giulietta Baptist,home_goods,HOME INTERIORS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-25 13:12:00,3.72,0.26,1.9,EUR,master_card,Giulietta Baptist,home_goods,HOME INTERIORS,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-10-07 00:00:00,3.72,0.26,1.9,EUR,master_card,Giulietta Weimer,men's clothing,LIU JO UOMO,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2021-10-08 00:00:00,3.72,0.26,1.9,EUR,master_card,Grace Kelly,sportswear,LE COQ SPORTIF,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-21 13:40:00,3.72,0.26,1.9,EUR,master_card,Grace Kelly,sportswear,LE COQ SPORTIF,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
2022-03-21 13:40:00,3.72,0.26,1.9,EUR,master_card,Grace Kelly,sportswear,LE COQ SPORTIF,"Carretera de la Vila 90 C.C. The style Outlets, local 62, 63, 08840 Viladecans, Barcelona, Spain",,,,,
